الوقت الفعلي للنظام,الوقت من الرسالة,اسم المستخدم,الرسالة
2025-04-09 01:27:26,,CSmohmmadSH,غوفة ٢
2025-04-09 01:27:29,,CSmohmmadSH,غوفة ٢
2025-04-09 01:27:29,,Mo_Ghanem,2
2025-04-09 01:27:29,,iqerth,ياعمري 😭🐤🥳
2025-04-09 01:27:29,,PhAhmed,كريس والله
2025-04-09 01:27:29,,Eilia1,
2025-04-09 01:27:31,,CSmohmmadSH,غوفة ٢
2025-04-09 01:27:31,,Mo_Ghanem,2
2025-04-09 01:27:31,,iqerth,ياعمري 😭🐤🥳
2025-04-09 01:27:31,,PhAhmed,كريس والله
2025-04-09 01:27:31,,Eilia1,
2025-04-09 01:27:31,,Yassodj,
2025-04-09 01:27:31,,re_mo4,مو حلوه اللعبه ياخي
2025-04-09 01:27:33,,CSmohmmadSH,غوفة ٢
2025-04-09 01:27:33,,Mo_Ghanem,2
2025-04-09 01:27:33,,iqerth,ياعمري 😭🐤🥳
2025-04-09 01:27:33,,PhAhmed,كريس والله
2025-04-09 01:27:33,,Eilia1,
2025-04-09 01:27:33,,Yassodj,
2025-04-09 01:27:33,,re_mo4,مو حلوه اللعبه ياخي
2025-04-09 01:27:35,,CSmohmmadSH,غوفة ٢
2025-04-09 01:27:35,,Mo_Ghanem,2
2025-04-09 01:27:35,,iqerth,ياعمري 😭🐤🥳
2025-04-09 01:27:35,,PhAhmed,كريس والله
2025-04-09 01:27:35,,Eilia1,
2025-04-09 01:27:36,,Yassodj,
2025-04-09 01:27:36,,re_mo4,مو حلوه اللعبه ياخي
2025-04-09 01:27:36,,Mohamed_9_0,الشاشه صارت معوقه
2025-04-09 01:27:38,,CSmohmmadSH,غوفة ٢
2025-04-09 01:27:38,,Mo_Ghanem,2
2025-04-09 01:27:38,,iqerth,ياعمري 😭🐤🥳
2025-04-09 01:27:38,,PhAhmed,كريس والله
2025-04-09 01:27:38,,Eilia1,
2025-04-09 01:27:38,,Yassodj,
